Category,Role,Action (trigger),Type,Content or Subject line,CTA,Received by,Status,ID,Email content,Notes
Activity Report,Creator,Adds a Collaborator,In-app,[Creator's name] added you as a Collaborator on their Activity Report for [Recipient name].,View AR,Collaborator,Proposed,AR-1a,,
Activity Report,Creator,Adds a Collaborator,Email,Activity Report R01-AR-17967: Added as collaborator,,Collaborator,Published,AR-1b,Actionable Notifications email content,
Activity Report,Creator,Submits a report for approval,In-app,An Activity Report for [Recipient name] has been submitted for approval.,Review AR,Approvers,Proposed,AR-2a,,review vs. approval? Go with Approval
Activity Report,Creator,Submits a report for approval,Email,Activity Report R01-AR-17967: Submitted for approval,,Approvers,Published,AR-2b ,Actionable Notifications email content,"updated existing message with ""approval"""
Activity Report,Creator,Submits a report for approval,In-app,[Creator's Name] has submitted an Activity Report for approval.,View AR,Collaborators,Proposed,AR-2c,,
Activity Report,Creator,Submits a report for approval,Email,Activity Report R01-AR-17967: Submitted for approval,,Collaborators,Proposed,AR-2d,Actionable Notifications email content,Do we have this?
Activity Report,Collaborator,Submits a report for approval,In-app,An Activity Report for [Recipient's name] has been submitted for approval.,Review AR,Approvers,Proposed,AR-3a,,
Activity Report,Collaborator,Submits a report for approval,Email,Activity Report R01-AR-17967: Submitted for approval,,Approvers,Proposed,AR-3b,Actionable Notifications email content,
Activity Report,Collaborator,Submits a report for approval,In-app,[Collaborator's name] has submitted an Activity Report for approval.,View AR,Creator,Proposed,AR-3c,,
Activity Report,Collaborator,Submits a report for approval,Email,Activity Report R01-AR-17967: Submitted for approval,,Creator,Proposed,AR-3d,Actionable Notifications email content,
Activity Report,Creator,Re-submit a report for approval,In-app,A revised Activity Report for [Recipient's name] has been submitted for approval.,Review AR,Approvers,Proposed,AR-4a,,
Activity Report,Creator,RE-submit a report for approval,Email,Revised Activity Report R01-AR-17967: Submitted for approval,,Approvers,Proposed,AR-4b,Actionable Notifications email content,
Activity Report,Creator,Re-submit a report for approval,In-app,A revised Activity Report for [Recipient's name] has been submitted for approval.,View AR,Collaborator,Proposed,AR-4c,,
Activity Report,Creator,Re-submit a report for approval,Email,Revised Activity Report R01-AR-17967: Submitted for approval,,Collaborator,Proposed,AR-4d,Actionable Notifications email content,
Activity Report,Collaborator,RE-submit a report for approval,In-app,A revised Activity Report for [Recipient's name] has been submitted for approval.,Review AR,Approvers,Proposed,AR-5a,,
Activity Report,Collaborator,RE-submit a report for approval,Email,Revised Activity Report R01-AR-17967: Submitted for approval,,Approvers,Proposed,AR-5b,Actionable Notifications email content,
Activity Report,Collaborator,RE-submit a report for approval,In-app,[Collaborator's name] has submitted a revised Activity Report for approval.,View AR,Creator,Proposed,AR-5c,,
Activity Report,Collaborator,RE-submit a report for approval,Email,Revised Activity Report R01-AR-17967: Submitted for approval,,Creator,Proposed,AR-5d,Actionable Notifications email content,
Activity Report,System,Near report submission deadline (5th working day of the month),In-app,The submission deadline for Activity Report R01-AR-17967 is near. ,Take action,Creator,Out of scope,,,NEW - Wishlist item 03/24/26 Digest?
Activity Report,System,Near report submission deadline (5th working day of the month),Email,Submit draft Activity Report R01-AR-17967: Submission deadline 07/05/2026,,Creator,Out of scope,,Actionable Notifications email content,Version 2 per Heather - https://adhoc.slack.com/archives/C022R5301L4/p1774474899507799
Activity Report,System,Near report submission deadline (5th working day of the month),In-app,The submission deadline for Activity Report R01-AR-17967 is near. ,Take action,Collaborator,Out of scope,,,
Activity Report,System,Near report submission deadline (5th working day of the month),Email,Submit draft Activity Report R01-AR-17967: Submission deadline 07/05/2026,,Collaborator,Out of scope,,Actionable Notifications email content,
Activity Report,System,"Activity Report pending approval for ""X' days",In-app,"An Activity Report for [Recipient name] has been pending approval for ""X"" days.",View AR,TTAC/Managers,Out of scope,,,NEW - Wishlist item 03/24/26 Digest?
Activity Report,System,"Activity Report pending approval for ""X' days",Email,"Activity Report R01-AR-17967: Pending approval for ""X"" days",,TTAC/Managers,Out of scope,,Actionable Notifications email content,Version 2 - https://adhoc.slack.com/archives/C022R5301L4/p1774474899507799
Activity Report,Approver 1,Reviews report and sets status to needs action,In-app,[Approver 1 name] has requested changes to your Activity Report for [Recipient name].,Take action/View AR,Creator,Proposed,AR-6a,,
Activity Report,Approver 1,Reviews report and sets status to needs action,Email,Activity Report R01-AR-17967: Changes requested,,Creator,Published,AR-6b,Actionable Notifications email content,Text includes Approver name
Activity Report,Approver 1,Reviews report and sets status to needs action,In-app,[Approver 1 name] has requested changes to your Activity Report for [Recipient name].,Take action,Collaborator,Proposed,AR-6c,,
Activity Report,Approver 1,Reviews report and sets status to needs action,Email,Activity Report R01-AR-17967: Changes requested,,Collaborator,Proposed,AR-6d,Actionable Notifications email content,
Activity Report,Approver 1,Reviews report and sets status to needs action,In-app,[Approver 1 name] has requested changes to an Activity Report for [Recipient name].,View AR,Approver 2,Proposed,AR-6e,,
Activity Report,Approver 1,Reviews report and sets status to needs action,Email,Activity Report R01-AR-17967: Changes requested by [Approver 1 name],,Approver 2,Proposed,AR-6f,Actionable Notifications email content,LInk text is different for Approver 2
Activity Report,Approver 1,Reviews report and sets status to approved,In-app,[Approver 1 name] has approved your Activity Report for [Recipient name].,View AR,Creator,Proposed,AR-7a,,
Activity Report,Approver 1,Reviews report and sets status to approved,Email,Activity Report R01-AR-17967: Approved,,Creator,Published,AR-7b,Actionable Notifications email content,Added approver name
Activity Report,Approver 1,Reviews report and sets status to approved,In-app,[Approver 1 name] has approved your Activity Report for [Recipient name].,View AR,Collaborator,Proposed,AR-7c,,
Activity Report,Approver 1,Reviews report and sets status to approved,Email,Activity Report R01-AR-17967: Approved,,Collaborator,Published,AR-7d,Actionable Notifications email content,
Activity Report,Approver 1,Reviews report and sets status to approved,In-app,[Approver 1 name] has approved your Activity Report for [Recipient name].,View AR,Approver 2,Proposed,AR-7e,,
Activity Report,Approver 1,Reviews report and sets status to approved,Email,Activity Report R01-AR-17967: Approved by [Approver 1 name],,Approver 2,Proposed,AR-7f,Actionable Notifications email content,
Activity Report,Approver 2,Reviews report and sets status to needs action,In-app,[Approver 2 name] has requested changes to your Activity Report for [Recipient name].,Take action/View AR,Creator,Proposed,AR-8a,,
Activity Report,Approver 2,Reviews report and sets status to needs action,Email,Activity Report R01-AR-17967: Changes requested,,Creator,Proposed,AR-8b,Actionable Notifications email content,"Text includes Approver name, update existing email"
Activity Report,Approver 2,Reviews report and sets status to needs action,In-app,[Approver 2 name] has requested changes to your Activity Report for [Recipient name].,Take action,Collaborator,Proposed,AR-8c,,
Activity Report,Approver 2,Reviews report and sets status to needs action,Email,Activity Report R01-AR-17967: Changes requested,,Collaborator,Proposed,AR-8d,Actionable Notifications email content,
Activity Report,Approver 2,Reviews report and sets status to needs action,In-app,[Approver 2 name] has requested changes to an Activity Report for [Recipient name].,View AR,Approver 1,Proposed,AR-8e,,
Activity Report,Approver 2,Reviews report and sets status to needs action,Email,Activity Report R01-AR-17967: Changes requested by [Approver 2 name],,Approver 1,Proposed,AR-8f,Actionable Notifications email content,LInk text is different for Approver 1
Activity Report,Approver 2,Reviews report and sets status to approved,In-app,[Approver 2 name] has approved your Activity Report for [Recipient name].,View AR,Creator,Proposed,AR-9a,,
Activity Report,Approver 2,Reviews report and sets status to approved,Email,Activity Report R01-AR-17967: Approved,,Creator,Proposed,AR-9b,Actionable Notifications email content,
Activity Report,Approver 2,Reviews report and sets status to approved,In-app,[Approver 2 name] has approved your Activity Report for [Recipient name]..,View AR,Collaborator,Proposed,AR-9c,,
Activity Report,Approver 2,Reviews report and sets status to approved,Email,Activity Report R01-AR-17967: Approved,,Collaborator,Proposed,AR-9d,Actionable Notifications email content,
Activity Report,Approver 2,Reviews report and sets status to approved,In-app,[Approver 2 name] has approved your Activity Report for [Recipient name].,View AR,Approver 1,Proposed,AR-9e,,
Activity Report,Approver 2,Reviews report and sets status to approved,Email,Activity Report R01-AR-17967: Approved by [Approver 2 name],,Approver 1,Proposed,AR-9f,Actionable Notifications email content,
Activity Report,Digest,Activity Reports for review,Email,TTA Hub [daily/weekly/monthly] digest: Activity Reports for approval,,Approvers,Proposed,AR-10a,,Digest
Activity Report,Digest,Activity Reports need action,Email,TTA Hub [daily/weekly/monthly] digest: Activity Report changes requested,,Creator/Collaborator,Proposed,AR-11,Actionable Notifications email content,
Activity Report,Digest,Activity Reports - approved,Email,TTA Hub [daily/weekly/monthly] digest: approved Activity Reports,,Creator/Collaborator,Proposed,AR-12,Actionable Notifications email content,
Activity Report,Digest,Added as a Collaborator,Email,TTA Hub [daily/weekly/monthly] digest: added as collaborator on Activity Reports,,Collaborator,Proposed,AR-13,Actionable Notifications email content,
Activity Report,Digest,Creator submits AR where I'm the Collab,Email,TTA Hub [daily/weekly/monthly] digest: Activity Reports submitted for approval,,Collaborator,Proposed,AR-14,Actionable Notifications email content,
Activity Report,Digest,Collab submits a report for approval,Email,TTA Hub [daily/weekly/monthly] digest: Activity Reports submitted for approval,,Creator,Proposed,AR-15,Actionable Notifications email content,
Collaborative Report,Creator,Adds a Collaborator,In-app,[Creator's name] added you as a Collaborator on their Collaboration Report for [Activity name].,View AR,Collaborator,Proposed,CR-1a,,
Collaborative Report,Creator,Adds a Collaborator,Email,Collaboration Report R01-CR-12345: Added as collaborator,,Collaborator,Proposed,CR-1b,Actionable Notifications email content,
Collaborative Report,Creator,Submits a report for approval,In-app,[Creator's name] submitted the [Activity name] Collaboration Report for approval.,Review CR,Approvers,Proposed,CR-2a,,
Collaborative Report,Creator,Submits a report for approval,Email,Collaboration Report R01-CR-12345: Submitted for approval,,Approvers,Proposed,CR-2b,Actionable Notifications email content,
Collaborative Report,Creator,Submits a report for approval,In-app,[Creator's name] submitted the [Activity name] Collaboration Report for approval.,View CR,Collaborator,Proposed,CR-2c,,
Collaborative Report,Creator,Submits a report for approval,Email,Collaboration Report R01-CR-12345: Submitted for approval,,Collaborator,Proposed,CR-2d,Actionable Notifications email content,
Collaborative Report,Collaborator,Submits a report for approval,In-app,[Collaborator's name] submitted the [Activity name] Collaboration Report for approval.,Review CR,Approvers,Proposed,CR-3a,,
Collaborative Report,Collaborator,Submits a report for approval,Email,Collaborator Report R01-CR-12345: Submitted for approval,,Approvers,Proposed,CR-3b,Actionable Notifications email content,
Collaborative Report,Collaborator,Submits a report for approval,In-app,[Collaborator's name] submitted the [Activity name] Collaboration Report for approval.,View CR,Creator,Proposed,CR-3c,,
Collaborative Report,Collaborator,Submits a report for approval,Email,Collaborator Report R01-CR-12345: Submitted for approval,,Creator,Proposed,CR-3d,,
Collaborative Report,Creator,Re-submit a report for approval,In-app,[Creator's name] submitted the revised [Activity name] Collaboration Report for approval.,Review CR,Approvers,Proposed,CR-4a,,Add Title
Collaborative Report,Creator,Re-submit a report for approval,Email,Revised Collaboration Report R01-CR-12345: Submitted for approval,,Approvers,Proposed,CR-4b,Actionable Notifications email content,
Collaborative Report,Creator,Re-submit a report for approval,In-app,[Creator's name] submitted the revised [Activity name] Collaboration Report for approval.,View CR,Collaborators,Proposed,CR-4c,,
Collaborative Report,Creator,Re-submit a report for approval,Email,Revised Collaboration Report R01-CR-12345: Submitted for approval,,Collaborators,Proposed,CR-4d,,
Collaborative Report,Collaborator,Re-submit a report for approval,In-app,[Collaborator's name] submitted the revised [Activity name] Collaboration Report for approval.,Review CR,Approvers,Proposed,CR-5a,,
Collaborative Report,Collaborator,Re-submit a report for approval,Email,Revised Collaboration Report R01-CR-12345: Submitted for approval,,Approvers,Proposed,CR-5b,,
Collaborative Report,Collaborator,Re-submit a report for approval,In-app,[Collaborator's name] has submitted a revised Collaboration Report for [Activity name].,View CR,Creator,Proposed,CR-5c,,
Collaborative Report,Collaborator,Re-submit a report for approval,Email,Revised Collaboration Report R01-CR-12345: Submitted for approval,,Creator,Proposed,CR-5d,,
Collaborative Report,Approver 1,Reviews report and sets status to needs action,In-app,[Approver 1 name] has requested changes to your Collaboration Report for [Activity name].,Take action/View AR,Creator,Proposed,CR-6a,,
Collaborative Report,Approver 1,Reviews report and sets status to needs action,Email,Collaboration Report R01-CR-12345: Changes requested,,Creator,Proposed,CR-6b,Actionable Notifications email content,Text includes Approver name
Collaborative Report,Approver 1,Reviews report and sets status to needs action,In-app,[Approver 1 name] has requested changes to your Collaboration Report for [Activity name].,Take action,Collaborator,Proposed,CR-6c,,
Collaborative Report,Approver 1,Reviews report and sets status to needs action,Email,Collaboration Report R01-CR-12345: Changes requested,,Collaborator,Proposed,CR-6d,Actionable Notifications email content,
Collaborative Report,Approver 1,Reviews report and sets status to needs action,In-app,[Approver 1 name] has requested changes to your Collaboration Report for [Activity name].,View AR,Approver 2,Proposed,CR-6e,,
Collaborative Report,Approver 1,Reviews report and sets status to needs action,Email,Collaboration Report R01-CR-12345: Changes requested by [Approver 1 name],,Approver 2,Proposed,CR-6f,,LInk text is different for Approver 2
Collaborative Report,Approver 1,Reviews report and sets status to approved,In-app,[Approver 1 name] has approved your Collaboration Report for [Activity name].,View AR,Creator,Proposed,CR-7a,,
Collaborative Report,Approver 1,Reviews report and sets status to approved,Email,Collaboration Report R01-CR-12345: Approved,,Creator,Proposed,CR-7b,Actionable Notifications email content,
Collaborative Report,Approver 1,Reviews report and sets status to approved,In-app,[Approver 1 name] has approved your Collaboration Report for [Activity name].,View AR,Collaborator,Proposed,CR-7c,,
Collaborative Report,Approver 1,Reviews report and sets status to approved,Email,Collaboration Report R01-CR-12345: Approved,,Collaborator,Proposed,CR-7d,Actionable Notifications email content,
Collaborative Report,Approver 1,Reviews report and sets status to approved,In-app,[Approver 1 name] has approved a Collaboration Report for [Activity name].,View AR,Approver 2,Proposed,CR-7e,,
Collaborative Report,Approver 1,Reviews report and sets status to approved,Email,Collaboration Report R01-CR-12345: Approved by [Approver 1 name],,Approver 2,Proposed,CR-7f,,
Collaborative Report,Approver 2,Reviews report and sets status to needs action,In-app,[Approver 2 name] has requested changes to your Collaboration Report for [Activity name].,Take action/View AR,Creator,Proposed,CR-8a,,
Collaborative Report,Approver 2,Reviews report and sets status to needs action,Email,Collaboration Report R01-CR-12345: Changes requested,,Creator,Proposed,CR-8b,Actionable Notifications email content,
